/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'green', 'forward', None)
 -- forward : 0.09
 -- None : 0.00
 -- right : 0.00
 -- left : 1.04

('right', 'red', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -5.03

('right', 'green', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.16
 -- left : -9.52

('forward', 'green', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -9.99

('left', 'green', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.42
 -- left : 0.00

('right', 'green', 'right', None)
 -- forward : 0.07
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : -10.27
 -- left : -20.23

('forward', 'red', 'left', None)
 -- forward : -5.06
 -- None : 1.67
 -- right : 0.45
 -- left : 0.00

('forward', 'red', 'forward', 'left')
 -- forward : -20.49
 -- None : 1.42
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'forward')
 -- forward : -4.86
 -- None : 2.29
 -- right : 0.12
 -- left : 0.00

('forward', 'green', None, None)
 -- forward : 1.28
 -- None : -5.08
 -- right : 0.21
 -- left : 0.00

('left', 'green', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.35
 -- left : 0.00

('forward', 'green', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.62
 -- left : 0.00

('left', 'green', None, 'forward')
 -- forward : 0.47
 -- None : -2.31
 -- right : 0.00
 -- left : -17.45

('left', 'green', 'left', 'left')
 -- forward : 0.18
 -- None : -2.78
 -- right : 0.79
 -- left : 0.00

