trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.69, 'e': 1.0}",20,0,-126.8478240681638,"{0: 6, 1: 3, 2: 10, 3: 1, 4: 0}",0
2,False,"{'a': 0.6799999999999999, 'e': 0.9851119396030626}",20,0,-78.3025671857244,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.6699999999999999, 'e': 0.9704455335485082}",25,0,-220.95821892957733,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.6599999999999999, 'e': 0.9559974818331}",25,0,-221.2950971966128,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.6499999999999999, 'e': 0.9417645335842487}",20,0,-137.99627835408967,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.6399999999999999, 'e': 0.9277434863285529}",25,0,-91.5171179536353,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.6299999999999999, 'e': 0.9139311852712282}",20,1,-132.09299496931894,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 1}",1
8,False,"{'a': 0.6199999999999999, 'e': 0.9003245225862656}",25,0,-133.75408785879685,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.6099999999999999, 'e': 0.8869204367171575}",20,0,-71.73804910489393,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
10,False,"{'a': 0.5999999999999999, 'e': 0.8737159116880344}",20,0,-109.69647466250859,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5899999999999999, 'e': 0.8607079764250578}",25,0,-79.31220935957286,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5799999999999998, 'e': 0.8478937040879159}",30,0,-128.64847208874002,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5699999999999998, 'e': 0.835270211411272}",25,0,-28.273526954468846,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5599999999999998, 'e': 0.8228346580560184}",30,0,-72.8200881129129,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5499999999999998, 'e': 0.8105842459701871}",20,0,-51.65848526232272,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5399999999999998, 'e': 0.7985162187593771}",25,0,-97.85020785760794,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5299999999999998, 'e': 0.7866278610665535}",25,0,-66.20468522839839,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5199999999999998, 'e': 0.774916497961081}",20,10,-50.495511874336756,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.5099999999999998, 'e': 0.7633794943368531}",20,0,-145.614746031392,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.4999999999999998, 'e': 0.7520142543193826}",20,0,-47.547831898432925,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.48999999999999977, 'e': 0.7408182206817179}",20,0,-56.91069640184331,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.47999999999999976, 'e': 0.7297888742690568}",20,0,-26.244637222595717,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.46999999999999975, 'e': 0.7189237334319262}",35,6,-102.81032587843697,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.45999999999999974, 'e': 0.7082203534678}",25,7,-120.6119809214208,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 2}",1
