trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.45912576537096,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.98258462275399,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.85605931551517,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.53251773708791,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.98840671699273,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.50031291867606,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.67468869707122,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,3,-158.43458107379294,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.93382100662308,"{0: 9, 1: 6, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.15949829091983,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.67385037712214,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.60037986042508,"{0: 12, 1: 3, 2: 5, 3: 4, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,2,-120.0963742433894,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.1408596110011,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.70745433929571,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.95917171303999,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-252.7331038850895,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.68056045066487,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.56597684368113,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.91833020754099,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.24238777763638,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-201.37768349664245,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-48.858489596320425,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.49477398410087,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.13993296334988,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,2,-118.73380210811442,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-65.9567841618556,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,6,-42.8590970315147,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.80275547369853,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-39.79138926323091,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
