trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.003316766082,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.4175440232809,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.37129978257292,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.20502529726365,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.9776344454829,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.68173037414695,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.36698296754224,"{0: 15, 1: 0, 2: 12, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,11,-5.190536134517254,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.61002127708545,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.27149171458782,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.748365251659287,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.61996343131474,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.55693106001941,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,3,-55.97851417464117,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-74.61878524900858,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,8,-104.66849218310401,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",35,15,-136.5036536332706,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.2357537518955,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.29026884896453,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.78403380862246,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.89366985704407,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.95119006424075,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.30861059120053,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.90120444368503,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.183949411801606,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.33004364796554,"{0: 11, 1: 7, 2: 9, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.54933736488883,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.00789105597906,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.09197296991673,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.49417990135777,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
11,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.967441019445943,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.286084538950625,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
